"","state","year","deaths","death_rate","hydro_gms","oxy_gms","fent_gms","pop","unempl_rate","poverty_rate","snap_rate","medicaid_rate","gsp_per_cap","min_wage","log_pop"
"689","SD",2008,54,-0.844109698750063,-0.10420321310054,-0.071832438318204,-0.0859504941308724,-0.786267918906361,-1.24055350813509,0.169755920175737,-0.611849106278396,-0.558780636893415,0.0491916526530023,-0.485893081499249,13.5912714066996
"690","SD",2009,49,-0.951481310266682,-0.104137822093708,-0.071827144791711,-0.0859555856298383,-0.785079455164345,-0.180339748888944,0.469633543973807,-0.325638428335258,-0.460312760956075,-0.00723013335429177,0.0549678308762082,13.6011619673498
"691","SD",2010,45,-1.01673286839093,-0.104063919081304,-0.0718329673241587,-0.0859249637752365,-0.783718026033209,-0.216348096211928,0.161645297932382,0.232251562889787,-0.348004476600383,0.100386755182088,0.595828743251666,13.6123730446294
"692","SD",2011,57,-0.880705810713927,-0.103913497320662,-0.0718292537080968,-0.0849997183963072,-0.782608863031878,-0.381770574800528,0.531905397800396,0.38353159566741,-0.335300794026482,0.50544669056094,0.595828743251666,13.6214147559962
"693","SD",2012,42,-1.14184356562588,-0.103927085543692,-0.0718486202503512,-0.085949845166362,-0.781114567754084,-0.656604577495595,0.0792817945421916,0.404671410959692,-0.345527843925306,0.654480840010709,0.595828743251666,13.6334681622013
"694","SD",2013,55,-0.903804434842062,-0.103877054818783,-0.0718593180008209,-0.085949542614274,-0.77980535741257,-0.947519540929025,-0.718280663158613,0.381376133490754,-0.379536068009448,0.757740618419858,0.595828743251666,13.6439105197303
"695","SD",2014,63,-0.764308473470372,-0.103841372039958,-0.0717713728114973,-0.0859479741763272,-0.778785968834657,-1.1441684877772,0.115809659612778,0.278022824537652,-0.681009131383947,0.871091319730158,0.595828743251666,13.6519663972141
"696","SD",2015,65,-0.671930417259703,-0.103985848501358,-0.0717618641598204,-0.0859537712967405,-0.778058945629009,-1.32500124322606,0.413796344303596,0.201043174532851,-0.592505884753178,0.977943992884713,1.56165180106498,13.6576724211497
"697","SD",2016,69,-0.661638788288734,-0.10423884833691,-0.0718640044750642,-0.0859690271423205,-0.776711132285426,-1.3974241684742,0.581201533578138,0.108241797173045,-0.64848938412099,1.04151733045244,1.60028472337752,13.6681653350606
"698","TN",2000,397,-0.906451323443222,-0.10423477662267,-0.0720404085058899,-0.0860288034967083,-0.0524226051991323,-1.01968742796445,0.258727879286174,-0.429930451188646,1.36765146079731,-1.20872502383965,-1.02675399387471,15.5566289761882
"699","TN",2001,424,-0.83870083943465,-0.104063643698327,-0.0719179032155916,-0.0860290869202335,-0.0453798016819817,-0.662407795509357,0.45280158400411,-0.34741751188862,1.68286782914053,-1.17264229396578,-1.02675399387471,15.5648476207514
"700","TN",2002,491,-0.655490115389145,-0.1035017600172,-0.071833236687589,-0.0860125356296329,-0.0386274184245887,-0.317537051627188,0.613756460906095,-0.0702110867813611,1.61935547223972,-1.04580343340089,-1.02675399387471,15.5726644346346
"701","TN",2003,662,-0.182634152988139,-0.102952073092789,-0.0717504522474901,-0.0859963178247776,-0.0308628285431565,-0.0996158994096716,0.522777475066202,0.403849218771991,1.24232499512973,-0.947844878717956,-1.02675399387471,15.5815781321522
"702","TN",2004,763,0.0645457856357097,-0.102418770455755,-0.0716702075378784,-0.0859805413191739,-0.0214369629563722,-0.315069306204897,0.990861374354699,0.667895660357927,1.31310658216359,-0.755185191102977,-1.02675399387471,15.592293266647
"703","TN",2005,872,0.343373305360383,-0.101908491868574,-0.0715935390730659,-0.0859653807036564,-0.00942993307227825,-0.215690407314152,0.637855202144975,0.7873882153609,1.28535382232574,-0.644565555485241,-1.02675399387471,15.6057784152922
"704","TN",2006,975,0.583187988746221,-0.0624310341831081,-0.0536086474397845,-0.0832629217615303,0.00518968215732167,-0.326728099733447,0.60182218356059,0.812369392767902,0.856884846784477,-0.520120727888636,-1.02675399387471,15.6219559918966
"705","TN",2007,985,0.558313812016066,-0.058610853977441,-0.0517267139516352,-0.0795087815066823,0.0182011382154252,-0.606062228091444,0.672887219234581,0.747778643440975,0.777703094826452,-0.510414539303361,-1.02675399387471,15.6361371663419
"706","TN",2008,938,0.386627739581823,-0.05154813150365,-0.0498451502148482,-0.0837813168472008,0.0289267878292647,0.33165480176959,0.709280010145066,0.876860220136492,0.79077363186237,-0.444063031936841,-0.485893081499249,15.6476776958915
"707","TN",2009,962,0.444941490316694,-0.0472868248976804,-0.0507866465318356,-0.0846162637133533,0.0376959535087455,2.26461533324472,1.18301658342309,1.41258505791487,0.839058348288848,-0.495390538403507,0.0549678308762082,15.6570151320861
"708","TN",2010,1080,0.734570288370325,-0.0482433012537578,-0.0480714366617943,-0.0842268287745178,0.0450712216406212,1.88097352326502,1.23531871337251,1.91390130328417,0.87435387784998,-0.446923194259623,0.595828743251666,15.6648013992525
"709","TN",2011,1090,0.775292916103699,0.497310879426176,-0.046107275151984,-0.0847542773495078,0.0516516868771685,1.55184449065112,1.10587199549486,2.06402568726491,0.88163926988643,-0.303332483683718,0.595828743251666,15.6716977609432
"710","TN",2012,1131,0.84891258788006,0.487518080007674,-0.0481021764042415,3.98167056239411,0.0598222067764896,0.899070886555606,1.83650247106748,2.16762539282949,0.839135361226513,-0.108538126153448,0.595828743251666,15.6801948473167
"711","TN",2013,1187,0.930045477611266,-0.0644009461165424,-0.0588697634107169,-0.0849491039006414,0.0658733021629482,0.813866700159211,1.68922890446652,2.22580219195979,0.795736041421888,0.00450204901612365,0.595828743251666,15.6864415862953
"712","TN",2014,1269,1.16234694304226,-0.0757280183782035,-0.0617010301114566,-0.0693919713523569,0.0728881259848001,0.150185976770068,1.42706392756877,2.09258336475965,1.03558283763326,0.122331420767806,0.595828743251666,15.6936347090086
"713","TN",2015,1457,1.59683124087738,-0.0599477884478715,-0.0599921355876079,-0.0848849847918008,0.0803613978622406,-0.301676235980451,0.700787861256743,1.77904809318657,1.40163709713606,0.36645979747462,0.595828743251666,15.7012414324499
"714","TN",2016,1630,1.98750213422747,-0.0916903814700189,-0.0659566106300797,-0.0844298076255707,0.0885667801626557,-0.716959351383139,0.732349869546217,1.35708295738534,1.76724961541831,0.477987624885286,0.595828743251666,15.70952723256
"715","TX",2000,1021,-1.22736601595653,-0.104514650655697,-0.0721550882821158,-0.0860320241474594,2.22796445637126,-0.812541892441474,0.863445871356607,-0.947637534891072,-1.26140296362894,-0.90159919520675,-2.41753919712588,16.8573865922873
"716","TX",2001,1374,-0.967675007609182,-0.104310222756229,-0.0721195554314452,-0.086032576754418,2.28409187476438,-0.474047203952746,0.674795992318613,-0.943488676455024,-1.20393452316485,-0.811835914512396,-1.02675399387471,16.8751384272736
"717","TX",2002,1598,-0.813333453648378,-0.104115007961657,-0.0721171497048438,-0.0860281124758488,2.33955795490499,0.259166750597854,0.92494417894589,-0.769453070982444,-0.943238272497521,-0.806039169419954,-1.02675399387471,16.8923768665543
"718","TX",2003,1753,-0.716763120460717,-0.103923539457379,-0.0721146457972308,-0.0860237440854115,2.3905208003429,0.428450955040761,1.32513934569338,-0.473715854439215,-0.657162260210834,-0.682714060749107,-1.02675399387471,16.9079579784394
"719","TX",2004,1813,-0.70333139383247,-0.103740158908206,-0.0721123523389112,-0.0860195528147308,2.44484809192245,0.0201372174735651,1.20024374270378,-0.121360061507501,-0.586690954322523,-0.420362608660023,-1.02675399387471,16.9243046508626
"720","TX",2005,1910,-0.643439374118025,-0.10356486549839,-0.0721102572590972,-0.0860155394987222,2.50231868531394,-0.273979380437882,1.12553130297705,0.0281679425194185,-0.5548241005418,-0.16612645798098,-1.02675399387471,16.9413111157492
"721","TX",2006,2191,-0.485069946198934,-0.100316132630692,-0.0719214617606268,-0.0859607166619044,2.58931863017631,-0.555013251013945,1.17890030009609,0.131494359855033,-0.588682362518794,0.119589691818942,-1.02675399387471,16.9665177363106
"722","TX",2007,2194,-0.520383714616894,-0.0997499079900312,-0.0718769512130338,-0.0859466266172649,2.66000147508629,-0.881611287975514,1.19142977235297,-0.104419035015142,-0.532457782965361,0.397063474736723,-1.02675399387471,16.9865390600484
"723","TX",2008,2053,-0.641154172158018,-0.100175793274417,-0.071912512681537,-0.0859382007544663,2.73138052064987,-0.622624723844529,1.00755325279862,-0.0484088577761385,-0.530031537955879,0.527396424172939,-0.485893081499249,17.0063588144538
"724","TX",2009,2409,-0.434466697041355,-0.0995168697264584,-0.0718726658009839,-0.0859479683985579,2.8051035764089,0.768962284340373,1.43663627688803,0.327148505491733,-0.389262527821061,0.163451848929547,0.0549678308762082,17.0264252166788
"725","TX",2010,2399,-0.469829786364927,-0.0991051407408025,-0.0718457511604033,-0.0859437948960392,2.87096957463037,1.09782489237448,1.79452455417981,0.762378354188083,-0.221967001330261,0.358470498301229,0.595828743251666,17.0440186829212
"726","TX",2011,2589,-0.380690469622758,-0.098305565756801,-0.0718364860141488,-0.0859421564085359,2.93136651497722,0.919001948379725,1.49703788968338,1.08154799468274,-0.075789769944309,0.623200023582263,0.595828743251666,17.059883705703
"727","TX",2012,2447,-0.499668934259991,0.104651519958751,-0.0718302253792624,-0.0859342602858297,2.99702932375369,0.381303912159531,1.39188133302996,1.07568488870395,-0.0830090720266128,0.821903264191663,0.595828743251666,17.0768510977485
"728","TX",2013,2446,-0.522816879293737,-0.0975967923732176,-0.0718083701093701,-0.0859420803651704,3.05624827404125,0.145481958898177,1.29272080867437,1.02723146998916,-0.428020902497736,1.05979070879094,0.595828743251666,17.0919103342998
"729","TX",2014,2601,-0.453932014456097,-0.0741716340535996,-0.0718305724983254,-0.0859499171749894,3.12867633374247,-0.452850341262949,1.13285293732752,0.810727295128993,-0.171418685840475,1.19609347057971,0.595828743251666,17.1100255506789
"730","TX",2015,2588,-0.50026078512733,-0.10103488021503,-0.0718098551286596,-0.0859500922258323,3.20434465163293,-0.818583170040894,0.679578316794149,0.6489819904652,-0.0847639948916406,1.08559647127629,0.595828743251666,17.1286070966569
"731","TX",2016,2831,-0.380295902377865,-0.100980448729313,-0.0718341460361908,-0.085927935448382,3.27083069187215,-0.72752210144375,0.364732956289623,0.635893094942231,-0.125284932545875,1.01336157169627,0.595828743251666,17.1446536009131
"732","UT",2000,210,-0.340280207624925,-0.104791035173262,-0.0720637188110331,-0.0860319433530689,-0.570004624620997,-1.25091633999949,-1.48301266471494,-1.5497785933206,-1.87104237672744,-1.26064783372862,-1.02675399387471,14.6239942282708
"733","UT",2001,209,-0.328541832089346,-0.104673934924337,-0.0719736787184137,-0.0860324840154081,-0.564137417178506,-0.675939516728265,-0.617905473548166,-1.58506858550397,-1.83278786305986,-1.18924331729176,-1.02675399387471,14.6413140608864
"734","UT",2002,288,0.259248280688735,-0.10443377616498,-0.0718944006153954,-0.0860208221585274,-0.557987869174366,0.0562135764890657,-0.804559714638424,-1.50157214871065,-1.73427819142974,-1.13220564455052,-1.02675399387471,14.6591510239453
"735","UT",2003,353,0.606319493478097,-0.104197592707859,-0.0718168290973473,-0.0860094336033595,-0.552702848867742,-0.0343603420021032,-1.04223792317649,-1.36651977471762,-1.4801207019303,-1.0614337343805,-1.02675399387471,14.6742302261644
"736","UT",2004,358,0.636980656466689,-0.103973517951017,-0.0717428306292451,-0.0859985467010627,-0.546501979818214,-0.360956704160109,-0.798595367543788,-1.21937504077688,-1.40003094342274,-0.860782555634246,-1.02675399387471,14.6916374120452
"737","UT",2005,438,1.13137341431813,-0.103770376106908,-0.0716747781839192,-0.0859884800320622,-0.538102235891099,-0.827468750068569,-0.9162346821534,-1.15647458954249,-1.37986151511416,-0.617763390158992,-1.02675399387471,14.7147442419872
"738","UT",2006,444,1.09441561571311,-0.101532919859201,-0.0706614028468166,-0.0807608181007355,-0.527959521533321,-1.41238456581078,-0.957122518383394,-1.20203440035325,-1.46101612461634,-0.286516564153091,-1.02675399387471,14.7419523926148
"739","UT",2007,511,1.45587209263921,-0.101495262360544,-0.0703979715229466,-0.0824480046863938,-0.51715083057782,-1.62044790363173,-0.80183449441379,-1.3049305299357,-1.58410839907655,-0.0890094382557426,-1.02675399387471,14.7701547039197
"740","UT",2008,468,1.07218832758412,-0.101202999222727,-0.0702299557260704,-0.0786354706708286,-0.507382924437812,-1.10395237573767,-1.39972610396172,-1.24158998511381,-1.57549084551221,-0.145938249847895,-0.485893081499249,14.7949747547105
"741","UT",2009,478,1.09924906446306,-0.101116224038285,-0.070352623634012,-0.0777613220807546,-0.498346829472702,0.799890056896093,-0.772122340742128,-0.850036833290836,-1.3575416975338,-0.314106232968466,0.0549678308762082,14.8173993685924
"742","UT",2010,433,0.732071362486,-0.101067656285311,-0.0703743438568376,11.5209966168602,-0.490579695982606,0.970800945983925,-0.686151959507209,-0.381602571541775,-1.29596219270756,-0.234266729352402,0.595828743251666,14.8362809376461
"743","UT",2011,504,1.15526117293605,-0.0922956284055375,-0.0703794470664288,2.29002811639217,-0.484736578010399,0.351755527218309,-0.448473262271556,-0.120762423422607,-1.16574089647823,-0.0736648529177383,0.595828743251666,14.8502539679009
"744","UT",2012,601,1.75694334079475,-0.0934325606860901,-0.0700886867253082,-0.079528358788297,-0.478902587104574,-0.315001493984066,-0.462111847572138,-0.20641947650671,-1.13381879262817,0.0017442635092479,0.595828743251666,14.8640130621469
"745","UT",2013,594,1.58152531983589,-0.0993791940077525,-0.0699195885471017,-0.0800083921406067,-0.472279479016903,-0.707263525996267,-1.27823793907859,-0.432770287515774,-1.1226950539359,0.12096190261549,0.595828743251666,14.8794071705439
"746","UT",2014,603,1.64163106347465,-0.0962701386802525,-0.0697057802799269,-0.0779427347190679,-0.466408381349397,-1.09446536224567,-0.701388594441324,-0.622574555674486,-1.00133764919227,0.282573577408057,0.595828743251666,14.8928580108302
"747","UT",2015,646,1.79743580430194,-0.0951474874522953,-0.069773911137968,-0.0801462917841146,-0.459681883050757,-1.17549916735421,-0.941448421963193,-0.680821698066515,-0.93403870945204,0.44318256735569,0.595828743251666,14.908049440784
"748","UT",2016,635,1.62880762801562,-0.0879043269522804,-0.0699724558843118,7.23169336228378,-0.450699503115658,-1.24798955904341,-1.14736200210136,-0.756134864838976,-0.940992231270764,0.609766076939551,0.595828743251666,14.927982358355
"749","VT",2000,36,-1.0925226600142,-0.105528950595421,-0.0719624454593949,-0.08602540064931,-0.814622572046815,-1.44125941552647,-0.79392734217576,-0.873441532500851,0.66549205770375,-1.3815524521314,-0.563158926124314,13.3205878104777
"750","VT",2001,44,-0.880261922563422,-0.105546197390876,-0.0719604591035281,-0.0860255624672065,-0.814232801425141,-1.12353331076755,-0.856273980532852,-0.950692025027869,0.773049662509457,-1.2496377790381,-0.176829702998988,13.3248518742095
"751","VT",2002,47,-0.811820945876286,-0.105427090626404,-0.0719111626794695,-0.0860142782929169,-0.813751161643503,-0.702892649158686,-0.772859316104144,-0.920565854619943,0.856196987928663,-1.13218970126752,-0.176829702998988,13.3300959878351
"752","VT",2003,65,-0.364003563224141,-0.105308343213249,-0.0718618808407253,-0.086003033151592,-0.813389669965206,-0.519686810518013,-1.22717347983115,-0.875233505622865,0.848620831540577,-1.00110616095639,-0.176829702998988,13.3340139365751
"753","VT",2004,50,-0.72804116754392,-0.105190066365709,-0.0718127357136091,-0.0859918347501083,-0.813081145196726,-0.877835390827074,-1.43170831093229,-0.825443789162942,0.820625140384339,-0.784684495400391,0.209499520126339,13.3373457164378
"754","VT",2005,53,-0.653763883692736,-0.105071445442386,-0.0717633213763848,-0.0859806084659035,-0.812887382066182,-0.976698227754204,-1.48551743499729,-0.744490100293726,0.779591901403625,-0.667236096470492,0.402664131689002,13.3394325167778
"755","VT",2006,75,-0.0358222572840505,-0.104697064113308,-0.0714544145596499,-0.039158334813815,-0.812636462552728,-0.82636995236207,-1.4429321086304,-0.661244097265452,0.787538331692901,-0.558259933549784,0.595828743251666,13.3421284280068
"756","VT",2007,66,-0.262764184305241,-0.104502453908596,-0.0713564703506552,-0.033308832493215,-0.812548333993739,-0.652459316547466,-0.811685052210622,-0.487220405043285,0.740523302953654,-0.5050823149248,0.812173108201849,13.3430735705024
"757","VT",2008,73,-0.246126598812236,-0.10449533501389,-0.0711531924014025,-0.019862084355347,-0.812448085887589,-0.247480945912921,-1.10692750141979,-0.374225847209586,1.07517699430507,-0.36524105339718,0.928071875139446,13.3441476052569
"758","VT",2009,55,-0.682501531362473,-0.103783245101516,-0.0711835234851003,-0.0296563178837106,-0.812348436277595,0.938062385236934,-0.96391088882889,0.201725103358405,1.47421339519168,-0.339486480487472,1.22168208471469,13.3452140858442
"759","VT",2010,63,-0.451334446760548,-0.104486721353122,-0.0711685877186363,-0.0346560258426823,-0.812189535548145,0.627774497261946,-0.531828085917086,0.672895588970972,1.80252732365972,-0.163897890883441,1.22168208471469,13.3469123406643
"760","VT",2011,83,0.0727166156653773,-0.104380403442728,-0.0709908308914107,-0.0281911157977322,-0.81201447542248,0.2427975973476,-0.344095078725761,0.897244815330888,1.86873542213867,-0.0219764579493768,1.29122134487725,13.3487799664818
"761","VT",2012,70,-0.246011516699142,-0.104382940610454,-0.0710790361217723,-0.0369204077613661,-0.81215796487591,-0.0980342130536553,-0.435875051941652,1.06318107091474,1.97849480115095,0.0954742147824166,1.53074546321496,13.3472494097164
"762","VT",2013,93,0.429109479615346,-0.104526651200434,-0.0711133524025324,-0.0227238897376188,-0.812140009991226,-0.447380626322078,-1.16424527293556,1.20290551231658,2.01855482938213,0.105263755442282,1.63891764569005,13.3474410570858
"763","VT",2014,83,0.246638569154017,-0.104636956553507,-0.0713041286072716,-0.0359433620857708,-0.8122890355341,-0.745468565943807,-1.01429416773843,0.940944629848378,2.42259506256479,0.218295146053043,1.73936324370263,13.345849270113
"764","VT",2015,99,0.699322281159847,-0.104751839428753,-0.0713259952350064,-0.0454326331806893,-0.812288736286022,-0.981154236986897,-0.625564046735211,0.65679321604902,2.91124477266389,0.360968459376828,2.06387979112791,13.3458524690126
"765","VT",2016,125,1.59898492042242,-0.104927605767979,-0.0713718611320811,-0.0533430786456673,-0.81252200016287,-1.16789215306487,-0.861237720273913,0.476527884366953,2.98263652195109,0.484924344292531,2.4115760919407,13.3433558167352
"766","VA",2000,411,-1.12121098677833,-0.105140429272367,-0.0719975793510499,-0.0860328742766265,0.157364960677006,-1.81135572610559,-1.31712033727467,-1.31014772392911,-1.6056589839855,-0.682705507428789,-1.02675399387471,15.7764243023466
"767","VA",2001,459,-1.03207167003616,-0.105137560153935,-0.0719518373301274,-0.0860332671238948,0.171211917369054,-1.30707385046214,-1.40370297531594,-1.33525445832911,-1.60693381579229,-0.513389580567102,-1.02675399387471,15.7893640581042
"768","VA",2002,509,-0.928645730968476,-0.105010926646646,-0.0719387476543343,-0.086025786528204,0.184455290687654,-0.781095427594389,-0.857261165477591,-1.28722277247982,-1.57139675447496,-0.4441129930651,-1.02675399387471,15.8015850682036
